market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,2w,score_intensity,Extreme Negative,38,1.388601,1.844257,73.684211,-1.192796,-6.369639,2.378732,0.583757,0.543225,0.845376,2.191543,0.028412
sp500,S&P 500,2w,score_intensity,Mild Negative,64,0.233124,0.321248,54.6875,-1.702294,-10.718087,2.352367,0.099102,0.543225,-0.310101,-1.051002,0.293258
sp500,S&P 500,2w,score_intensity,Mild Positive,102,0.789715,0.99137,66.666667,-1.952021,-17.470177,3.441606,0.229461,0.543225,0.24649,0.832862,0.404922
sp500,S&P 500,2w,score_intensity,Risk-On,6,2.88511,2.051318,83.333333,-0.495917,-0.946665,3.475121,0.830219,0.543225,2.341885,1.663043,0.096304
sp500,S&P 500,2w,score_intensity,Extreme Positive,4,4.062954,3.870302,100.0,-1.594192,-2.795316,2.269795,1.790009,0.543225,3.519729,3.098814,0.001943
sp500,S&P 500,4w,regime,Mixed,262,1.290061,1.688369,67.557252,-2.823411,-24.726733,4.807223,0.268359,1.11581,0.174251,0.872933,0.3827
sp500,S&P 500,4w,regime,Caution,158,0.47745,1.605031,69.620253,-2.848671,-30.943899,5.272944,0.090547,1.11581,-0.63836,-1.966859,0.0492
sp500,S&P 500,4w,regime,Risk-On,10,6.63653,6.930672,90.0,-1.016408,-2.795316,3.757975,1.765986,1.11581,5.52072,4.659156,3e-06
sp500,S&P 500,4w,score_sign,Zero,99,1.038537,1.723873,71.717172,-3.151508,-24.726733,5.30917,0.195612,1.11581,-0.077273,-0.16749,0.866985
sp500,S&P 500,4w,score_sign,Negative,219,0.621934,1.532652,67.123288,-2.717821,-30.943899,4.822089,0.128976,1.11581,-0.493877,-2.074724,0.038012
sp500,S&P 500,4w,score_sign,Positive,112,2.14982,3.281557,69.642857,-2.614158,-17.470177,5.107698,0.420898,1.11581,1.034009,2.508233,0.012134
sp500,S&P 500,4w,score_intensity,Zero,99,1.038537,1.723873,71.717172,-3.151508,-24.726733,5.30917,0.195612,1.11581,-0.077273,-0.16749,0.866985
sp500,S&P 500,4w,score_intensity,Caution,120,-0.144267,1.067608,64.166667,-3.229273,-30.943899,5.717332,-0.025233,1.11581,-1.260078,-2.985128,0.002835
sp500,S&P 500,4w,score_intensity,Extreme Negative,38,2.440768,2.999619,86.842105,-1.646768,-8.849752,2.763177,0.88332,1.11581,1.324958,2.798485,0.005134
sp500,S&P 500,4w,score_intensity,Mild Negative,61,0.99617,1.225143,60.655738,-2.378899,-10.718087,3.396064,0.293331,1.11581,-0.11964,-0.271218,0.786224
sp500,S&P 500,4w,score_intensity,Mild Positive,102,1.709946,2.127523,67.647059,-2.7708,-17.470177,5.022414,0.340463,1.11581,0.594136,1.366819,0.171682
sp500,S&P 500,4w,score_intensity,Risk-On,6,6.489231,7.396396,83.333333,-0.631219,-1.758472,4.47934,1.448703,1.11581,5.373421,2.953942,0.003137
sp500,S&P 500,4w,score_intensity,Extreme Positive,4,6.857479,6.519844,100.0,-1.594192,-2.795316,2.969482,2.309318,1.11581,5.741668,3.851939,0.000117
sp500,S&P 500,13w,regime,Mixed,259,4.685225,5.394658,78.764479,-4.613175,-30.541844,7.759324,0.603819,3.538633,1.146592,3.93754,8.2e-05
sp500,S&P 500,13w,regime,Caution,152,1.730791,3.690956,65.131579,-6.524952,-33.807867,7.486153,0.231199,3.538633,-1.807842,-3.679303,0.000234
sp500,S&P 500,13w,regime,Risk-On,10,1.321083,1.116284,50.0,-4.765869,-13.395185,6.743684,0.195899,3.538633,-2.21755,-1.048315,0.294494
sp500,S&P 500,13w,score_sign,Zero,99,3.953296,5.394658,76.767677,-5.087397,-24.726733,8.435252,0.468664,3.538633,0.414663,0.572838,0.566754
sp500,S&P 500,13w,score_sign,Negative,210,2.131695,3.721052,67.142857,-6.159943,-33.807867,7.212373,0.295561,3.538633,-1.406938,-3.770128,0.000163
sp500,S&P 500,13w,score_sign,Positive,112,5.810109,5.909747,81.25,-3.901994,-19.338255,7.614677,0.763014,3.538633,2.271476,3.679185,0.000234
sp500,S&P 500,13w,score_intensity,Zero,99,3.953296,5.394658,76.767677,-5.087397,-24.726733,8.435252,0.468664,3.538633,0.414663,0.572838,0.566754
sp500,S&P 500,13w,score_intensity,Caution,120,0.904251,2.4967,60.833333,-7.50758,-33.807867,7.402491,0.122155,3.538633,-2.634382,-4.564567,5e-06
sp500,S&P 500,13w,score_intensity,Extreme Negative,32,4.830318,6.209933,81.25,-2.840097,-19.316536,7.076043,0.68263,3.538633,1.291685,1.065425,0.286684
sp500,S&P 500,13w,score_intensity,Mild Negative,58,3.18234,3.92179,72.413793,-5.203368,-30.541844,6.38111,0.498713,3.538633,-0.356293,-0.441302,0.658994
sp500,S&P 500,13w,score_intensity,Mild Positive,102,6.250209,5.93801,84.313725,-3.8173,-19.338255,7.581623,0.824389,3.538633,2.711576,4.14363,3.4e-05
sp500,S&P 500,13w,score_intensity,Risk-On,6,3.407767,5.294004,66.666667,-3.462794,-13.395185,6.008967,0.567114,3.538633,-0.130866,-0.053472,0.957356
sp500,S&P 500,13w,score_intensity,Extreme Positive,4,-1.808943,-4.470646,25.0,-6.720482,-9.708125,7.38113,-0.245077,3.538633,-5.347576,-1.455202,0.145613
sp500,S&P 500,26w,regime,Mixed,248,8.723154,9.686991,78.629032,-6.714389,-30.541844,10.403304,0.838498,7.199468,1.523687,3.887079,0.000101
sp500,S&P 500,26w,regime,Caution,150,4.700936,5.654103,70.0,-9.608808,-33.807867,9.670345,0.486119,7.199468,-2.498532,-3.889092,0.000101
sp500,S&P 500,26w,regime,Risk-On,10,6.890012,3.424157,100.0,-5.076515,-13.395185,6.120316,1.125761,7.199468,-0.309456,-0.158363,0.874171
sp500,S&P 500,26w,score_sign,Zero,99,7.42547,8.872032,67.676768,-7.876707,-29.39283,11.590041,0.640677,7.199468,0.226002,0.23125,0.817121
sp500,S&P 500,26w,score_sign,Negative,200,5.278005,7.01228,74.0,-9.491664,-33.807867,9.071127,0.581847,7.199468,-1.921463,-3.79772,0.000146
sp500,S&P 500,26w,score_sign,Positive,109,10.519819,10.300155,87.155963,-4.395669,-21.123396,10.107008,1.040844,7.199468,3.320351,4.01707,5.9e-05
sp500,S&P 500,26w,score_intensity,Zero,99,7.42547,8.872032,67.676768,-7.876707,-29.39283,11.590041,0.640677,7.199468,0.226002,0.23125,0.817121
sp500,S&P 500,26w,score_intensity,Caution,118,3.310905,4.028492,65.254237,-10.952816,-33.807867,9.750688,0.339556,7.199468,-3.888562,-5.100786,0.0
sp500,S&P 500,26w,score_intensity,Extreme Negative,32,9.826673,12.681275,87.5,-4.652777,-19.316536,7.494512,1.311182,7.199468,2.627205,1.994624,0.046084
sp500,S&P 500,26w,score_intensity,Mild Negative,50,7.009213,8.496732,86.0,-9.140231,-30.541844,6.76298,1.036409,7.199468,-0.190254,-0.195516,0.844989
