dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence,evidence_rank
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,4w,483,0.1602420756806739,0.1340561427977169,0.4569931233667204,2.2288103248437388,0.025826527682644516,483,145,145,1.9372736967856927,0.277523627533503,1.6597500692521896,68.96551724137932,55.172413793103445,-3.035095113270926,-4.288760296968313,0.1340561427977169,1.6597500692521896,tentative,1
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,4w,483,-0.14554987952518475,-0.1096594596586396,-0.4543126147429593,-2.142265399724431,0.032172131439301935,483,145,145,0.6367525696622912,2.19141555569441,-1.554662986032119,60.689655172413794,71.03448275862068,-3.8838251339609213,-2.8431019451577497,0.1096594596586396,1.554662986032119,tentative,1
tff,TFF Detailed,Other Reportables,other_reportable,flow1_z,NASDAQ-100,13w,473,-0.07825984743185838,-0.06482448711883458,-0.40489937765606265,-2.0079514111209265,0.04464845519771221,473,142,142,5.0383150208919885,6.080076800512428,-1.0417617796204395,71.12676056338029,78.16901408450704,-6.752735809999588,-5.298620441473462,0.06482448711883458,1.0417617796204395,tentative,1
tff,TFF Detailed,Leveraged Funds,lev_money,flow4_z,S&P 500,26w,457,0.09961188313836823,0.09448128577298312,0.5005886260473953,1.9887821376690105,0.0467252552073548,457,137,137,8.052844545863447,6.910033241598947,1.1428113042644998,81.02189781021897,81.75182481751825,-7.372625553850213,-6.251376328387217,0.09448128577298312,1.1428113042644998,tentative,1
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,NASDAQ-100,13w,461,-0.23097655111197338,-0.1639693985162249,-1.0866933570034947,-1.9564888743938702,0.050407591787783174,461,139,139,4.240786104898602,6.817268880410207,-2.5764827755116055,74.10071942446042,72.66187050359713,-5.263779620126694,-5.7226939610508145,0.1639693985162249,2.5764827755116055,tentative,1
legacy,Legacy,Nonreportable,nonreportable,trend13_z,NASDAQ-100,13w,461,-0.23097655111197338,-0.1639693985162249,-1.0866933570034947,-1.9564888743938702,0.050407591787783174,461,139,139,4.240786104898602,6.817268880410207,-2.5764827755116055,74.10071942446042,72.66187050359713,-5.263779620126694,-5.7226939610508145,0.1639693985162249,2.5764827755116055,tentative,1
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,13w,474,-0.22142470473897288,-0.18163806229250976,-1.2001551173965397,-1.9159718916538462,0.05536867358314328,474,142,142,2.1057540197064184,6.463008343797064,-4.357254324090645,61.267605633802816,78.16901408450704,-7.723151208310102,-4.747836206807565,0.18163806229250976,4.357254324090645,tentative,1
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,13w,474,0.23329544501266977,0.23204516228081914,1.1664480004617617,1.905554045904928,0.056708089113052466,474,142,142,6.748363366581068,0.7851703572160572,5.9631930093650105,79.5774647887324,54.22535211267606,-4.988372063717384,-8.914830590700838,0.23204516228081914,5.9631930093650105,tentative,1
legacy,Legacy,Noncommercial,noncommercial,net_z,S&P 500,13w,474,-0.17542956468155826,-0.14590137934822878,-0.7099676753585005,-1.8105090248973694,0.07021688608920726,474,142,142,1.7198435579462372,4.108634724664508,-2.388791166718271,61.97183098591549,80.28169014084507,-6.044240702304514,-3.6475548767629538,0.14590137934822878,2.388791166718271,tentative,1
legacy,Legacy,Noncommercial,noncommercial,net_z,S&P 500,26w,461,-0.2681939537482555,-0.3060208394830672,-1.4313267763661883,-1.7832456389426379,0.07454632618080964,461,139,139,1.905779139903636,8.966542377839271,-7.060763237935635,52.51798561151079,92.80575539568345,-10.228249463236631,-4.192368606611165,0.3060208394830672,7.060763237935635,tentative,1
