dataset,market,category,position_change_metric,horizon,bottom_quartile_threshold,top_quartile_threshold,top_quartile_n,top_quartile_mean_return,top_quartile_median_return,top_quartile_hit_rate,top_quartile_stdev,bottom_quartile_n,bottom_quartile_mean_return,bottom_quartile_median_return,bottom_quartile_hit_rate,bottom_quartile_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,3d_post_release,-1.9032309814259847,0.8963570421859757,139,0.0036430808132748944,0.004779047171812101,0.6115107913669064,0.019349352626197934,140,0.0035469661494476486,0.004198880832909202,0.6142857142857143,0.024277180653072546,9.611466382724579e-05,0.036581282628052325,0.9708188678395182
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,1w_post_release,-1.9032309814259847,0.8963570421859757,139,0.005897545579524397,0.00782864492274582,0.6330935251798561,0.02789715280074181,140,0.0028741002907490274,0.003456010117492081,0.5642857142857143,0.03154019594383091,0.0030234452887753695,0.8482479801156669,0.3962998815035921
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,2w_post_release,-1.9032309814259847,0.8963570421859757,139,0.007936044377233031,0.013416377344516617,0.6546762589928058,0.04250940975053888,139,0.007958945566237215,0.011580877276181178,0.6474820143884892,0.03650850785744126,-2.290118900418435e-05,-0.004818435679675291,0.9961554594406274
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,4w_post_release,-1.9032309814259847,0.8963570421859757,138,0.017060656817391117,0.02535858027278004,0.644927536231884,0.057776899222846116,139,0.01726934820948197,0.02221086103768366,0.6762589928057554,0.05517384515630575,-0.00020869139209085327,-0.03073980323880047,0.9754770477558217
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,13w_post_release,-1.9032309814259847,0.8963570421859757,135,0.05177195646783721,0.05477657100911748,0.7777777777777778,0.0994169096394812,137,0.05424763334376683,0.06613948847650541,0.7591240875912408,0.0983504155072787,-0.0024756768759296235,-0.2064375032105073,0.8364491783507904
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,1d_post_release,-1.136381237777952,0.9406902312454477,140,-0.00047704292268660464,0.0007916729237192888,0.5357142857142857,0.018079937297849204,140,0.0016553299954061168,0.002431410568785153,0.6142857142857143,0.013966436209317019,-0.002132372918092721,-1.1043700198681932,0.269432660296145
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,2d_post_release,-1.136381237777952,0.9406902312454477,140,0.001991859475203072,0.0032947604869479896,0.5857142857142857,0.01894448290734047,140,0.0020362840706141566,0.00267623604814482,0.6142857142857143,0.017885855575238387,-4.4424595411084525e-05,-0.02017518185466758,0.9839036258667339
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,3d_post_release,-1.136381237777952,0.9406902312454477,140,0.0029837051712234205,0.005128387560323411,0.6071428571428571,0.024200244461075857,140,0.004707057068171309,0.0038028266259454435,0.6,0.022100580247956792,-0.001723351896947888,-0.6221830239692162,0.5338215273157381
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,1w_post_release,-1.136381237777952,0.9406902312454477,140,0.002717006207309271,0.006469105625680371,0.6,0.0320127822767488,140,0.0047862301538799425,0.00740322989285247,0.6071428571428571,0.030578043022364918,-0.0020692239465706715,-0.5530466488707502,0.580231467586367
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,2w_post_release,-1.136381237777952,0.9406902312454477,140,0.0063708261437703875,0.013910800145226498,0.6357142857142857,0.040364494912715924,140,0.009511074866496333,0.012059984143915625,0.6642857142857143,0.03988598507057083,-0.003140248722725945,-0.6547683891258217,0.512616885890577
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,4w_post_release,-1.136381237777952,0.9406902312454477,140,0.011186368020167205,0.019029942309145453,0.65,0.06153936051895986,140,0.020657471939830894,0.02833346651666735,0.6857142857142857,0.06217228972515716,-0.009471103919663689,-1.281041896374781,0.20017895060651753
