dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,1w_post_release,272,0.003249057171891707,0.005142838421130724,0.6323529411764706,0.024410692138007204,264,0.0023713536817845586,0.0025260788409131596,0.553030303030303,0.022599138549108253,0.0008777034901071485,0.4321360445270899,0.6656425388520018
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,2w_post_release,271,0.0052232190854541675,0.008538557795412904,0.6494464944649446,0.03275495108128625,264,0.0059533416689200175,0.007959461673231472,0.6477272727272727,0.02990810060501282,-0.00073012258346585,-0.26936055898418004,0.7876522342049486
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,4w_post_release,270,0.011845556468701045,0.017440927367528225,0.7,0.04463467332124103,262,0.010312823822481098,0.01545128459498546,0.6717557251908397,0.0479456600018807,0.0015327326462199475,0.38136749891877175,0.7029305741142736
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,13w_post_release,263,0.03933444962889734,0.04596106876159389,0.7642585551330798,0.07055863588608642,260,0.03155788722394329,0.042968906356612435,0.7423076923076923,0.07108339754574655,0.00777656240495405,1.255529722645821,0.20928652521653507
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1d_post_release,258,0.0022676724305274627,0.0028107960018133316,0.627906976744186,0.012940067022679622,300,8.132035129206128e-05,0.00119394381126392,0.56,0.015486176773334822,0.0021863520792354016,1.8166575538374867,0.06926956488658255
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,2d_post_release,258,0.0029626095296840715,0.0034546112662949824,0.6317829457364341,0.016514269958582975,300,0.0019315596803906032,0.0026352339477876408,0.5733333333333334,0.017582766569460027,0.0010310498492934683,0.7136069185678535,0.47547027820763466
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,3d_post_release,258,0.004122422075193937,0.004531601393614526,0.5968992248062015,0.020909389609471033,300,0.003410420361621368,0.003809334932832864,0.5933333333333334,0.021420464434787508,0.0007120017135725685,0.39653448927418355,0.6917107698601745
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1w_post_release,258,0.00635209460560402,0.007706191253241679,0.624031007751938,0.028922277569587884,300,0.0023483088436361656,0.0025891511320265126,0.5466666666666666,0.027754070570235205,0.004003785761967854,1.6610689577777473,0.09669959809539411
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,2w_post_release,258,0.010014943718626396,0.012516585198958041,0.6744186046511628,0.03887108779373877,299,0.0067393997750853675,0.011344682530775474,0.6053511705685619,0.037741110530261884,0.003275543943541029,1.005113781348497,0.31484206479777327
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,4w_post_release,256,0.020127922722342845,0.02834028599322469,0.6875,0.05631360119351372,298,0.013512995857710385,0.017670190494667892,0.6442953020134228,0.05560931341626761,0.0066149268646324595,1.386416087360298,0.16561988692361165
