market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,2w,score_intensity,Extreme Positive,34,1.066885,1.232721,61.764706,-2.256603,-9.19835,4.614444,0.231206,0.543225,0.52366,0.703469,0.481764
sp500,S&P 500,4w,regime,Mixed,316,1.068424,1.688369,69.303797,-2.775052,-30.943899,5.09537,0.209685,1.11581,-0.047386,-0.330028,0.741379
sp500,S&P 500,4w,regime,Caution,21,-0.35457,1.141252,61.904762,-3.662638,-10.691494,4.543309,-0.078042,1.11581,-1.470381,-1.511864,0.130569
sp500,S&P 500,4w,regime,Risk-On,93,1.608843,2.565661,68.817204,-2.646837,-11.844046,4.935634,0.325965,1.11581,0.493032,1.081807,0.279338
sp500,S&P 500,4w,score_sign,Negative,132,0.692227,1.570251,67.424242,-2.62715,-14.820464,3.858423,0.179407,1.11581,-0.423583,-1.322703,0.185934
sp500,S&P 500,4w,score_sign,Zero,187,1.061587,1.554255,68.983957,-2.974245,-30.943899,5.883486,0.180435,1.11581,-0.054224,-0.187823,0.851016
sp500,S&P 500,4w,score_sign,Positive,111,1.71088,2.556845,70.27027,-2.675856,-17.470177,4.718183,0.362614,1.11581,0.59507,1.506898,0.131837
sp500,S&P 500,4w,score_intensity,Mild Negative,111,0.89027,1.6045,68.468468,-2.431247,-14.820464,3.705101,0.240282,1.11581,-0.22554,-0.653885,0.513186
sp500,S&P 500,4w,score_intensity,Zero,187,1.061587,1.554255,68.983957,-2.974245,-30.943899,5.883486,0.180435,1.11581,-0.054224,-0.187823,0.851016
sp500,S&P 500,4w,score_intensity,Caution,15,0.652297,1.891189,66.666667,-2.924178,-8.466958,3.86978,0.168562,1.11581,-0.463514,-0.466355,0.640962
sp500,S&P 500,4w,score_intensity,Extreme Negative,6,-2.871738,-0.402537,50.0,-5.508786,-10.691494,5.476438,-0.524381,1.11581,-3.987548,-1.798128,0.072157
